ID,label,type,exposure cohort,exposure role,exposure categories,exposures,quote,source,confidence,note,classified by,checked by
COHO:0000012,Atopic Dermatitis Research Network,cohort aggregation,no,,,,The goal is to understand more about the immune system of AD patients which may lead to new therapeutic targets that minimize the likelihood of cutaneous infections that frequently exacerbate this disease.,https://www.nationaljewish.org/research-science/clinical-translational-research/atopic-dermatitis-research-network-adrn/overview,high,"Consortium of clinical centres running registry and clinical studies in patients with atopic dermatitis (with non-atopic controls); infection is an outcome studied, not the basis of recruitment, so there is no exposure component.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000013,Australia Cancer Study,cohort,no,,,,"Additional case women missed at the major treatment centers were identified through cancer registries and, with the treating doctor’s permission, invited to participate (recruitment through the New South Wales and Victorian Cancer Registries was conducted in parallel under a separately funded study: the Australian Cancer Study).",https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2666187/unicode,high,Registry-based recruitment of women newly diagnosed with epithelial ovarian cancer (the ovarian-cancer arm of the Australian Cancer Study) alongside population controls for the Australian case-control analyses; a disease cohort with no exposure component.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000014,Australian Ovarian Cancer Study,cohort,no,,,,"The second study was a national population-based case-control study of ovarian cancer, the AOCS.",https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2666187/unicode,high,National population-based case-control study of women with newly diagnosed epithelial ovarian cancer and population controls; a disease cohort with no exposure component.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000015,Australian Twin Registry,cohort,no,,,,"The Australian Twin Registry (ATR) is a national volunteer resource of twin pairs and higher-order multiples willing to consider participating in health, medical, and scientific research.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A23200298+AND+SRC%3AMED&format=json&resultType=core,high,"Volunteer twin registry supporting research across many fields; twins are enrolled for their twin status, not for an exposure or a disease.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000016,Avon Longitudinal Study of Parents and Children,cohort,no,,,,The Avon Longitudinal Study of Parents and Children (ALSPAC) is a transgenerational prospective observational study investigating influences on health and development across the life course.,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A22507743+AND+SRC%3AMED&format=json&resultType=core,medium,"General birth cohort of pregnancies in the Bristol area followed for health and development; it is listed in the Global Exposome Cohort Catalogue and records many environmental exposures, but these sit among genetic, epigenetic, psychological and social ones under a broad stated purpose rather than an exposure-centred design, so exposure is no.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000017,Berlin-Frankfurt-Münster trials,cohort aggregation,no,,,,"Between 1981 and 2000, 6609 children (<18 years of age) were treated in five consecutive trials of the Berlin-Frankfurt-Münster (BFM) study group for childhood acute lymphoblastic leukemia (ALL).",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A20010625+AND+SRC%3AMED&format=json&resultType=core,high,Aggregation of successive treatment trials enrolling children and adolescents with acute lymphoblastic leukaemia; a patient cohort with no exposure component.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000018,Bladder Cancer Prognosis Programme,cohort,no,,,,"The BCPP is a prospective longitudinal cohort study of all patients with newly diagnosed bladder cancer within the West Midlands (UK), investigating the influence of lifestyle factors on recurrence and progression, health-related quality of life, the predictive effect of a panel of molecular markers on recurrence or progression, and the establishment of Europe's largest comprehensive bladder cancer bio-repository.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A19751260+AND+SRC%3AMED&format=json&resultType=core,high,"Prospective cohort of all newly diagnosed bladder cancer patients in the West Midlands; lifestyle factors are one of several aims within a disease-defined cohort, not the basis of recruitment nor its main subject, so exposure is no.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000019,Brazilian Cohort,cohort,no,,,,"The sample comprised 45 babies (26 males aged mean ± SD 25.50 ± 7.17 months; 19 females aged mean ± SD 24.79 ± 6.73 months), 44 with confirmed Zika-associated congenital microcephaly and one baby with familial congenital microcephaly.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7578642/fullTextXML,high,"Presented as a population reference exome set, but the 45 babies were recruited as suspected microcephaly cases during the 2015–2016 Zika outbreak in Rio Grande do Norte, 44 with confirmed Zika-associated congenital microcephaly; they are defined by the disease, not by exposure to the virus.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000020,Breast Cancer Association Consortium,cohort aggregation,no,,,,"We pooled tumor marker and epidemiological risk factor data from 35,568 invasive breast cancer case patients from 34 studies participating in the Breast Cancer Association Consortium.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A21191117+AND+SRC%3AMED&format=json&resultType=core,high,"Consortium pooling breast cancer case-control and cohort studies; classified by what it collects, breast cancer patients and their controls.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000021,Bruneck study,cohort,no,,,,"The study was launched in summer 1990 when a sex- and age-stratified random sample of all inhabitants of Bruneck (n=1,000) was invited to participate in the study.",https://epicenter.i-med.ac.at/research/studies/proof-athero/bruneck/,medium,"Random population sample of Bruneck residents set up to study atherosclerosis and cardiovascular disease, the same design as ARIC or Framingham; its focus has since broadened to other age-related diseases, hence medium confidence.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000022,Cancer and Leukemia Group B,cohort aggregation,no,,,,"In the ensuing 50 years, the Cancer and Leukemia Group B has expanded to national and even international membership, and its research programs have expanded to include all of the common adult solid tumors and hematologic malignancies in a multidisciplinary effort to improve the outcomes for patients with cancer and to better understand the biology of malignant disease.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A16740784+AND+SRC%3AMED&format=json&resultType=core,high,"Cooperative group running treatment trials in patients with adult solid tumours and haematological malignancies; classified by what it collects, cancer patients.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000023,Cancer Genome Atlas,cohort aggregation,no,,,,"TCGA is a collaboration between the National Cancer Institute (NCI) and the National Human Genome Research Institute (NHGRI) that has generated comprehensive, multi-dimensional maps of the key genomic changes in 33 types of cancer.",https://www.cancer.gov/ccg/research/genome-sequencing,high,"Programme of tumour and matched-normal specimens from patients with 33 cancer types, genomically characterised; a tumour bank collecting cancer patients, with no exposure component.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000024,Cancer Prevention Study,cohort,no,,,,"The Cancer Prevention Study II (CPS-II), which began in 1982, is a prospective mortality study of approximately 1.2 million American men and women.",https://www.cancer.org/research/population-science/pop-sci/prevention-studies/cps-2.html,medium,"American Cancer Society general-population mortality cohort whose subject is cancer and its risk factors, so a population study of one disease family; its baseline questionnaire covers occupational exposures, diet, alcohol and tobacco among many other items, but the source states no exposure-centred design purpose, so exposure is no (the diet-focused CPS-II Nutrition Cohort is a separate sub-cohort term).","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000025,Cancer Prostate in Sweden,cohort,no,,,,"The population-based, case–control study in Sweden, named Cancer Prostate in Sweden (CAPS) was used to complete fine-mapping in the study.18 Cases with pathologically diagnosed PCa were recruited from regional cancer registries in Sweden, between July 2001 and October 2003.",https://pmc.ncbi.nlm.nih.gov/articles/PMC3364485/,high,"Population-based case-control study of men with newly diagnosed prostate cancer recruited from Swedish regional cancer registries, with matched controls; a disease cohort with no exposure component.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000026,Candesartan in Heart failure Assessment of Reduction in Mortality and morbidity,cohort aggregation,no,,,,"CHARM is intended to randomize 6,500 patients with symptomatic heart failure from 26 countries in Europe, the United States, Canada, South Africa, and Australia.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A10496201+AND+SRC%3AMED&format=json&resultType=core,high,"Programme of three placebo-controlled trials of candesartan in patients with symptomatic heart failure; classified by what it collects, heart failure patients; candesartan is a medication, not an environmental exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000027,Cardio-metabolic Genome Epidemiology Network,cohort aggregation,no,,,,"CAGE participants were recruited in a population-based or hospital-based setting, depending on the design of member studies.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4673465/fullTextXML,medium,"A network of Japanese, Vietnamese and Sri Lankan population- and hospital-based member studies whose stated purpose is cardiometabolic traits and disorders, so it is a population study of that disease family; environmental factors are mentioned only in passing, not as a design purpose.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000028,Cardiogenics Study,cohort,no,,,,"This initiative recruited 918 participants (459 patients with myocardial infarction and 459 normal controls) in five centres: Cambridge (UK), Leicester (UK), Lübeck (Germany), Regensburg (Germany), and Paris (France).",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3314981/fullTextXML,high,"A case-control collection of myocardial infarction patients and controls assembled for coronary artery disease genetics; recruitment is by disease, not by any environmental exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000029,CARDIoGRAMplusC4D,cohort aggregation,no,,,,Cases were selected for inclusion following the standard criteria for CAD and myocardial infarction used in the CARDIoGRAM study (details for the stage 2 and 3 cohorts are given in Supplementary Table 2).,https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3679547/unicode,high,"A consortium pooling coronary artery disease and myocardial infarction case-control studies, so it collects patients with that disease; no exposure enters its design.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000030,Carolina Head and Neck Cancer Epidemiology,cohort,no,,,,"A population-based case-control study of incident SCCHN, the Carolina Head and Neck Cancer Study was carried out in 2002-2006 in 46 counties in North Carolina.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A20049634+AND+SRC%3AMED&format=json&resultType=core,high,"A population-based case-control study of incident head and neck squamous cell carcinoma, so its cases are patients; tobacco and alcohol are studied as risk factors but do not define the cohort.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000031,"CARTaGENE cohort (CHU Sainte-Justine, Quebec, Canada)",cohort,no,,,,"In population-based cohorts, participants are not recruited for a particular disease but represent a random selection among the population, minimizing the need to correct for bias in measured phenotypes.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A23071140+AND+SRC%3AMED&format=json&resultType=core,high,Quebec's population-based biobank of adults aged 40-69 recruited as a random selection of the population for chronic disease in general; neither a disease nor an exposure defines it.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000032,Center for Autism Research and Treatment,cohort,no,,,,,,medium,"A university autism research and clinical centre through which participants with a confirmed ASD diagnosis are recruited (alongside typically developing controls), so it is a patient collection for autism; it is a centre rather than a defined study, hence medium confidence. No environmental exposure is involved.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000033,Center on Antisocial Drug Dependence,cohort,no,,,,"This study includes individuals from two cohorts within CADD: the longitudinal twin sample (LTS) and the community twin sample (CTS) (Rhea et al., 2013).",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9110300/supplementaryFiles#41588_2022_1062_MOESM1_ESM.pdf,medium,"A Colorado centre whose community-based twin samples are studied for the etiology of substance use disorders and related externalising conditions; addiction counts as a disease and it is the centre's stated purpose, so a population study of disease. Substance use is studied as the disorder, not as an environmental exposure defining the sample.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000034,Centre dEtude du Polymorphisme Humain,cohort,no,,,,"The CEPH collection includes families collected by R. White (Utah), J. Dausset (French), J. Gusella (Venezuelan), and J. Egeland (Amish).",https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000268.v1.p1,medium,"A foundation whose collection is reference families (Utah, French, Venezuelan, Amish) used for mapping human genetic variation; the families are not selected for a disease or an exposure, and the foundation's interest in complex diseases is a broad mission, not a cohort design.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000036,Chicago Asthma Genetics,cohort,no,,,,Participants were recruited through the adult and pediatric asthma clinics at the University of Chicago Medical Center as part of the Chicago Asthma Genetics study.,https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3548570/unicode,high,Adults and children with clinically confirmed asthma recruited through asthma clinics for asthma genetics; a patient cohort with no exposure basis.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000037,"Children, Allergy, Milieu, Stockholm, Epidemiology",cohort,yes,designed to study exposures,air pollution | built environment | other,"exposure at home and day care | furred animal and mite allergens | temperature, indoor humidity, air change rate and NO2","Inclusion in the study was made at 3-4 months of age. At that time, and before induction of allergic disease/ asthma of the child, a questionnaire focused on exposure, genetics and socio-economic factors was answered. Settled dust was sampled for later analysis of furred animal and mite allergens.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A12688617+AND+SRC%3AMED&format=json&resultType=core,medium,"A Stockholm population-based birth cohort (Milieu in its name) designed to find risk factors for childhood asthma and allergy, with baseline exposure questionnaires, home dust sampling for allergens and home measurements of NO2, humidity and air change; so a population study of asthma and allergic disease whose design centres on environmental exposures.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000038,Cholesterol and Atherosclerosis Pharmacogenetics,cohort,no,,,,"The Cholesterol and Pharmacogenetics (CAP) trial involved 944 healthy volunteers, 609 of whom were Caucasian, treated for six weeks with simvastatin 40 mg/day at two study sites (University of California, Los Angeles and San Francisco General Hospital) [5].",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2842298/fullTextXML,high,Healthy volunteers given six weeks of simvastatin in a pharmacogenetics trial of lipid response; a medication is not an environmental exposure and the participants have no disease.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000039,Cilento study,cohort,no,,,,"The discovery sample includes 1600 volunteer individuals recruited through a population-based sampling strategy in three small isolated villages of the Cilento region, South Italy (Campora, Gioi and Cardile).",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8376970/fullTextXML,medium,"A population-based sample of residents of three genetically isolated Cilento villages used for genetics of complex traits and diseases in general; the EGA project's focus on cardiovascular traits is one use of the cohort, not its recruitment basis, so neither disease nor exposure defines it.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000040,COIN,cohort,no,,,,The COIN trial aims to determine the best way of treating patients whose bowel cancer has spread.,https://innovative-ctu.ucl.ac.uk/studies/all-studies/c/coin-cr10/,high,"A phase III trial cohort of patients with advanced colorectal cancer comparing continuous and intermittent chemotherapy; chemotherapy is a treatment, not an exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000041,COIN-B,cohort,no,,,,We enrolled patients with advanced colorectal cancer who had received no previous chemotherapy for metastases.,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A24703531+AND+SRC%3AMED&format=json&resultType=core,high,A randomised phase 2 trial cohort of patients with advanced colorectal cancer testing intermittent versus continuous cetuximab; a patient cohort with no exposure basis.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000042,Colorectal Cancer Study of Austria,cohort,no,,,,"A total of 3,264 participants was genotyped including 142 CRC cases, 492 high-risk polyps, 837 low-risk polyps, and 1,793 polyp-free controls verified by colonoscopy.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A22495810+AND+SRC%3AMED&format=json&resultType=core,high,"An Austrian case-control collection of colorectal cancer and polyp cases with colonoscopy-verified polyp-free controls for colorectal neoplasia genetics; diet and smoking are questionnaire covariates, not the recruitment basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000043,Consortium for the Longitudinal Evaluation of African Americans with Early Rheumatoid Arthritis,cohort aggregation,no,,,,The CLEAR Registry is a National Institute of Arthritis and Musculoskeletal and Skin Diseases-funded program which enrolls self-defined African Americans with RA as defined by the revised American Rheumatism Association (now the American College of Rheumatology [ACR]) criteria.,https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3052790/unicode,high,"A registry of African Americans with rheumatoid arthritis combining a longitudinal early-RA cohort and a cross-sectional cohort; a patient registry, with environmental factors studied only as correlates of severity.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000044,Consortium of Minority Population Genome-Wide Association Studies of Stroke,cohort aggregation,no,,,,"Using METAL, we conducted meta-analyses of GWAS in 14 746 African Americans (1365 ischemic and 1592 total stroke cases) from COMPASS, and tested genetic variants with P<10(-6) for validation in METASTROKE, a consortium of ischemic stroke genetic studies in European-ancestry populations.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A26089329+AND+SRC%3AMED&format=json&resultType=core,high,"A consortium pooling stroke cases and controls from minority-population cohorts and case-control studies to find stroke susceptibility loci; it collects a disease, not an exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000045,Cooperative Health Research in the Region of Augsburg,cohort aggregation,no,,,,"KORA (Cooperative Health Research in the Region Augsburg) is a regional research platform for population-based surveys and subsequent follow-up studies in the fields of epidemiology, health economics, and health care research.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A16032513+AND+SRC%3AMED&format=json&resultType=core,high,"A population-based research platform of Augsburg surveys and follow-ups (with an MI registry as one component) covering diabetes, cardiovascular disease, ageing, allergy and health services; its purpose is broad and the environment is one topic among many, not a design purpose.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000046,Copenhagen Hospital Biobank,cohort,no,,,,The Copenhagen Hospital Biobank (CHB) 23 was established in the Capital Region of Denmark and contains leftover ethylenediaminetetraacetic acid whole blood samples from patients undergoing red cell typing or antibody screening.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12624164/fullTextXML,high,A biobank of leftover blood samples from hospital patients of every kind in the Capital Region of Denmark; the patients are not selected for any one disease and no exposure is involved.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000047,CROATIA-Korcula Study,cohort,no,,,,"It examines a family-based, cross-sectional genetics population cohort of adult volunteers recruited in the island of Korčula, Croatia between 2007 and 2014.",https://metadata.ega-archive.org/studies/EGAS00001008043,high,"A population isolate cohort of adult volunteers on Korcula island recruited to find genes for common diseases in general (heart disease, diabetes, glaucoma, stroke); a broad purpose, so not a disease cohort, and no exposure basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000048,Danish Glostrup Cohort,cohort,no,,,,"The 1936-cohort is a population-based prospective age-specific cohort that consists of 1198 Danish subjects born in 1936, who were resident in municipalities nearby Glostrup Hospital (Denmark) in 1976.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7765651/fullTextXML,medium,"A population-based cohort of people born in 1936 living near Glostrup Hospital, examined at age 60; the atherosclerosis analysis in the COHO definition is one use of a general population survey rather than a recruitment basis, so neither disease nor exposure defines it.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000049,Diabetes Genetics in Pakistan,cohort,no,,,,"Participants in the investigation (Table 1) were from two studies of South Asian individuals; the United Kingdom Asian Diabetes Study (UKADS; 857 participants with type 2 diabetes, 417 without) [2], [3] and the Diabetes Genetics in Pakistan study (DGP; 821 participants with type 2 diabetes, 1167 without) [3].",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3176767/fullTextXML,high,A Pakistani case-control collection of people with type 2 diabetes and normoglycaemic controls for diabetes genetics; a patient cohort with no exposure basis.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000050,Diabetes in Mexico Study,cohort,no,,,,"Supplementary Methods Study participants Diabetes in Mexico Study (DMS): Individuals were enrolled in the study, recruited from two tertiary level institutions (IMSS and ISSSTE) located in Mexico City.",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnature12828/MediaObjects/41586_2014_BFnature12828_MOESM230_ESM.pdf,high,A Mexico City collection of type 2 diabetes cases and non-diabetic controls recruited at two tertiary institutions for the SIGMA diabetes GWAS; a patient cohort with no exposure basis.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000051,Diabetes Prevention Program,cohort,no,,,,The Diabetes Prevention Program is a randomized clinical trial testing strategies to prevent or delay the development of type 2 diabetes in high-risk individuals with elevated fasting plasma glucose concentrations and impaired glucose tolerance.,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A10189543+AND+SRC%3AMED&format=json&resultType=core,high,"A trial cohort of people with impaired glucose tolerance and raised fasting glucose, selected for high risk of type 2 diabetes; the lifestyle and metformin arms are interventions, not exposures.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000052,Diabetes Reduction Assessment with Ramipril and Rosiglitazone Medication,cohort,no,,,,People with impaired fasting glucose or impaired glucose tolerance were randomised to ramipril (15 mg/day) or placebo and rosiglitazone (8 mg/day) or placebo with a 2x2 factorial design.,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A15322749+AND+SRC%3AMED&format=json&resultType=core,high,"A trial cohort of people with impaired fasting glucose or impaired glucose tolerance randomised to ramipril and rosiglitazone to prevent diabetes; a pre-disease (at-risk) cohort, and the drugs are treatments, not exposures.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000053,Diabetes Research on Patient Stratification,cohort aggregation,no,,,,,,high,IMI DIRECT combines prospective cohorts of prediabetic people (an at-risk group) and patients with newly diagnosed type 2 diabetes for biomarker discovery; no environmental exposure defines it.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000054,Dortmund Health Study,cohort,no,,,,We included cross-sectional data of five population-based longitudinal cohort studies from different areas of Germany: the Dortmund Health Study (DHS) conducted in the city of Dortmund,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7213856/fullTextXML,medium,"A population-based sample of Dortmund residents whose stated aim is the prevalence and incidence of headache types, with other chronic conditions and social factors as secondary aims; medium because the aim also names other chronic conditions.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000055,Duke Cognition Cohort,cohort,no,,,,,,medium,"A US cohort of adults (ages 18-77) with cognitive testing and genotypes, contributed to COGENT's meta-analysis of general cognitive function in healthy individuals; cognition is a trait, and no source in the bundle or cache describes an exposure or disease basis.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000056,DUNDEE,cohort,no,,,,,,high,The Dundee collection site of the Scottish high-grade serous ovarian cancer whole-genome sequencing study: a patient series with matched tumour and blood samples.,"Claude Fable 5.1 (Anthropic), 2026-09",
