catalogue id	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
Israel Genome Project	Israel Genome Project	unresolved																							IHCC Cohort Atlas entry "Israel Genome Project" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. I could not tell which group of people this entry is. The atlas gives Gad Rennert (Clalit National Israeli Cancer Control Center) as lead and 140,000 enrolled, but its website link is a general brochure on human genome research in Israel, which is not a cohort. Two candidates, neither confirmed: (1) the Clalit '100K Israeli Genomes' genomic-medicine randomised trial Rennert presented to G2MC in 2020 (web search snippets only; the pages would not load, and in 2020 Clalit was described as 'planning' it, so it may have no participants); (2) Psifas, the national genome initiative the press calls the 'Israeli Genome Project', launched January 2023 with Clalit as a major partner (about 50,000 samples by late 2024, so it does not match 140,000 or Rennert as lead). No COHO term matches either (the resembling 'Genome Project' terms are other countries'). Suggest reading PMID:35576557 (Annu Rev Biomed Data Sci 2022, which may tabulate IHCC cohorts) or asking IHCC before minting; if it turns out to be a planned programme without enrolled participants, it is not a cohort. Could not read: PMID:35576557 (mentions 'Israel Genome Project'; not open access), PMID:34532599 (mentions 'Israel Genome Project'; not open access).
Million Women Study	Million Women Study	mint cohort	COHO:0002674	Million Women Study			cohort				PMID:42167794		The Million Women Study is a population-based cohort study of 1.3 million UK women.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13202100/fullTextXML	A population-based prospective cohort of women aged 50–64 years in the United Kingdom, recruited in 1996–2001 when invited to routine mammography by the National Health Service Breast Screening Programme at centres in England and Scotland and coordinated by the Cancer Epidemiology Unit of the University of Oxford, set up to study the effects of hormone replacement therapy on breast cancer and other outcomes and followed for the effects of many other factors on women's health as they age.	PMID:11056681|https://www.ceu.ox.ac.uk/research/the-million-women-study	Claude Opus 5.5 (Anthropic), 2026-09	United_Kingdom	Women are asked to join the Million Women Study when they are invited to routine screening for breast cancer at 61 of the screening centres of the UK National Health Service Breast Screening Programme (NHSBSP).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13913/fullTextXML					IHCC Cohort Atlas entry "Million Women Study" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Million Women Study (Oxford Cancer Epidemiology Unit), a UK cohort of about 1.3 million women recruited through breast screening in 1996–2001; the atlas's website redirects to the unit's study page. No COHO term has it (the suggested Women's Health Study/Initiative etc. are different cohorts). No acronym is used by the study's own pages, so none is given. Papers not in the cache (the request watcher is stopped): texts were read directly from Europe PMC's full-text XML, and PMIDs 11056681 and 42167794 were appended to needed_urls.txt. The study's recruitment page (https://www.ceu.ox.ac.uk/research/the-million-women-study/about-the-study/recruitment-and-data-collection) says recruitment was at '66 participating centres across England and Scotland, between 1996 and 2001', but it refuses requests with a bare 'Mozilla/5.0' user agent, so the country quote is taken from the design paper instead.
Netherlands Twin Registry	Netherlands Twin Registry	existing	COHO:0000125			Netherlands Twin Registry																			IHCC Cohort Atlas entry "Netherlands Twin Registry" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Saudi National Biobank	Saudi National Biobank	mint cohort	COHO:0002675	Saudi Biobank	SBB|SNB	Saudi National Biobank|National Saudi Biobank	cohort				PMID:33194979		This cross-sectional study was performed using data from the Saudi National Biobank (SNB).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7649265/fullTextXML	A population-based biobank of Saudi nationals aged 10 years and over, recruited since 2017 by the Saudi Biobank Center of King Abdullah International Medical Research Center in Riyadh, in person at Ministry of National Guard Health Affairs hospitals and clinics and at community sites such as blood donation centres, with questionnaires, biological samples and linked electronic health records, to support genetic and epidemiological research on common and rare diseases in Saudi Arabia.	PMID:41721974|https://www.biobanking.org/biobanks/view/462|PMID:33194979	Claude Opus 5.5 (Anthropic), 2026-09	Saudi_Arabia	The Saudi Biobank is one of the important medical research projects in the Kingdom of Saudi Arabia to study the impact of a healthy lifestyle, genes and the environment in the Saudi population.	https://www.biobanking.org/biobanks/view/462					IHCC Cohort Atlas entry "Saudi National Biobank" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas's 'Saudi National Biobank' is the Saudi Biobank of King Abdullah International Medical Research Center (KAIMRC): the Biobank Resource Centre registry names the atlas's lead investigator as its biobank leader, and KAIMRC papers call it the Saudi National Biobank (SNB) and the Saudi Biobank (SBB). It is not the separate National Biobank inaugurated by the Public Health Authority (Weqaya) in 2023, and not COHO:0002343 (Saudi Newborn Cohort). No COHO term has it. Texts read directly from Europe PMC (the request watcher is stopped); PMIDs appended to needed_urls.txt where relevant.
WHI (Women's Health Initiative)	WHI (Women's Health Initiative)	existing	COHO:0000409			WHI (Women's Health Initiative)|Women's Health Initiative																			IHCC Cohort Atlas entry "WHI (Women's Health Initiative)" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
PERSIAN Cohort Study	PERSIAN Cohort Study	mint cohort	COHO:0002676	Prospective Epidemiological Research Studies in Iran	PERSIAN	Prospective Epidemiological Research Studies in IrAN|PERSIAN Cohort Study|PERSIAN Cohort|PERSIAN cohort study	cohort				PMID:42467699		The current study used the data of a very large cross-sectional survey, Prospective Epidemiological Research Studies in IrAN (PERSIAN), including 163,770 Iranians aged 35–70 years from 18 distinct areas across Iran, between 2014 and 2020.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13379098/fullTextXML	An ongoing nationwide population-based prospective cohort of adults aged 35–70 years living in 18 regions of Iran chosen to cover its ethnic, environmental and socioeconomic diversity, enrolled since 2014 through a network of Iranian medical universities coordinated by the Digestive Diseases Research Institute of Tehran University of Medical Sciences, with a biobank, to study environmental, lifestyle and genetic determinants of non-communicable diseases.	PMID:41286709|https://persiancohort.com/	Claude Opus 5.5 (Anthropic), 2026-09	Iran	The adult cohort includes Iranian residents aged 35–70 from 18 diverse regions, capturing the country’s ethnic, environmental, and socioeconomic diversity.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12645788/fullTextXML					IHCC Cohort Atlas entry "PERSIAN Cohort Study" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. PERSIAN, Iran's national adult cohort (18 recruitment sites, one per participating university), run from the Digestive Diseases Research Institute, Tehran. The biobank paper says the name refers to the main adult cohort and that the programme also has purpose-built Birth, Youth, Elderly, Employee and Accident subcohorts; the site cohorts (Fasa, Shahrekord, Kharameh etc.) are parts of it, none of which is in COHO. It is one cohort with a common protocol, not an aggregation. The website capitalises the name 'Prospective Epidemiological Research Studies in IrAN' to form the acronym, kept as a synonym. Not in COHO; the Golestan Cohort Study, a separate atlas entry, is an earlier cohort of the same institute. Could not read: PMID:29145581 (Prospective Epidemiological Research Studies in Iran (the PERSIAN Cohort Study): Rationale, Objectives, and Design; Am J Epidemiol 2018, not open access; requested).
Biobank Japan	Biobank Japan	existing	COHO:0000377			Biobank Japan																			IHCC Cohort Atlas entry "Biobank Japan" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Danish National Biobank	Danish National Biobank	not a cohort																							IHCC Cohort Atlas entry "Danish National Biobank" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Danish National Biobank (DNB) at Statens Serum Institut, is national research infrastructure, not a defined group of people: its three pillars are the Danish Biobank Register (an overview of samples held across the Danish health system and participating research biobanks), the storage facility itself, and a coordinating centre. It holds more than 25 million samples routinely collected by the health service or deposited by external and internal research projects; the home page says 'The DNB stores millions of samples. With some exemptions most samples are available for use in research projects.' (https://www.danishnationalbiobank.com/) and the about page 'The Danish National Biobank has 3 pillars: The Danish Biobank Register with detailed information about the samples available in the Danish health system and in the large research biobanks participating.' (https://www.danishnationalbiobank.com/about-dnb). The cohorts are the collections it stores (for example the Danish National Birth Cohort, COHO:0000748, a separate atlas entry, and the neonatal screening biobank used by iPSYCH, COHO:0000512), which should be curated in their own right. Caveat for the curator: COHO:0000926 (National Biobank of Korea) is typed as a cohort, a precedent for treating a national biobank hub as one; if that precedent is followed, this would be a new cohort defined from the pages above.
Generation Victoria (GenV)	Generation Victoria (GenV)	mint cohort	COHO:0002677	Generation Victoria	GenV	Generation Victoria (GenV)	cohort				PMID:42005644		For our current study—Generation Victoria (GenV) [18], the ethical approval is in place (Royal Children's Hospital Human Research Ethics Committee (HREC)‐2019/11), including consent to access clinical data.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13087638/fullTextXML	A whole-population birth and parent cohort open to all children born in the state of Victoria, Australia, between October 2021 and October 2023 and their parents, recruited from December 2020 (an Advance Cohort, then newborns at Victorian maternity services and later remote and ongoing enrolment) and led from the Murdoch Children's Research Institute, which combines linked administrative and clinical data, biosamples and phenotypic waves as a platform for discovery and intervention research on child and adult health.	PMID:39754130|PMID:41844214	Claude Opus 5.5 (Anthropic), 2026-09	Australia	All children living in Victoria, Australia, born between 4 October 2021 and 3 October 2023 and their parents/guardians are eligible for GenV’s ‘Cohort 2020s’.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13016905/fullTextXML					IHCC Cohort Atlas entry "Generation Victoria (GenV)" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. Generation Victoria, Australia's statewide birth and parent cohort run by the Murdoch Children's Research Institute, Melbourne. Not in COHO (the suggested Generation R/Scotland/XXI terms are other cohorts). The website (genv.org.au) is behind a bot check, so the design papers were used. The protocol also describes the special care nursery registry and other depth subcohorts inside GenV, not separate atlas entries. Texts read directly from Europe PMC (the request watcher is stopped).
European Investigation of Cancer and Nutrition (EPIC)	European Investigation of Cancer and Nutrition (EPIC)	existing	COHO:0000065		EPIC	European Investigation of Cancer and Nutrition (EPIC)																			IHCC Cohort Atlas entry "European Investigation of Cancer and Nutrition (EPIC)" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
South Asia Biobank	South Asia Biobank	mint cohort	COHO:0002678	South Asia Biobank	SAB	South Asia Biobank Study	cohort				PMID:38071311		Using large-scale population data from the South Asia Biobank (SAB) Study, comprising 148,944 male and female adults from Bangladesh, India, Pakistan, and Sri Lanka, we aimed to (1) describe patterns of SLT and combustible tobacco product use stratified by country and sex, and (2) assess the associations of SLT with attempts to quit smoking, smoking cessation, and smoking intensity among men.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10709928/fullTextXML	A population-based study of adults aged 18 years and over of South Asian ethnicity, recruited from 2018 at non-communicable disease surveillance sites centred on primary community health care units in Bangladesh, India, Pakistan and Sri Lanka by a partnership of centres in those countries and the United Kingdom led from Imperial College London, with standardised health assessments, environmental mapping and biological samples, to identify the genetic and environmental causes of type 2 diabetes, cardiovascular and other non-communicable diseases in South Asians.	PMID:34143882	Claude Opus 5.5 (Anthropic), 2026-09	Bangladesh|India|Pakistan|Sri_Lanka	SAB is a cross-sectional population-based study that recruited participants from 118 surveillance sites that were centred on local primary community health care units in five study regions: Bangladesh, South India, North India, Pakistan and Sri Lanka.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8271208/fullTextXML					IHCC Cohort Atlas entry "South Asia Biobank" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The South Asia Biobank, a multi-country population study of South Asians led from Imperial College London (the atlas's lead investigator is the corresponding author of its data resource profile). The atlas lists India, Sri Lanka and Bangladesh; the profile also recruited in Pakistan, so four countries are given. Not in COHO (the suggested biobanks are unrelated; LOLIPOP, COHO:0000567, is a separate London cohort of the same group). The 'South Asia Biobank Study' synonym is from the example paper. Texts read directly from Europe PMC (the request watcher is stopped).
Dementias Platform UK	Dementias Platform UK	mint aggregation	COHO:0002679	Dementias Platform UK	DPUK	Dementias Platform UK Data Portal|DPUK Data Portal	cohort aggregation				PMID:38506636		For this project we used DPUK cohorts that agreed to participate in sharing the individual‐level genotype data with the main aim of merging and processing the datasets together.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11095482/fullTextXML	A platform established by the UK Medical Research Council to accelerate the development of new treatments for dementia, run from the University of Oxford, whose Data Portal, launched in 2017, brings together data from independent population and clinical cohorts, most of them in the United Kingdom, in a shared remote-access environment for collaborative and multi-cohort research on dementia and neurodegeneration.	PMID:32328990|PMID:38506636	Claude Opus 5.5 (Anthropic), 2026-09	United_Kingdom							IHCC Cohort Atlas entry "Dementias Platform UK" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. DPUK is an MRC-funded platform and data portal that collects many distinct cohorts ('It is a data repository facilitating access to data for 3 370 929 individuals in 42 cohorts.' and 'DPUK collaborates with 42 clinical and population cohorts (Table 1).', PMID:32328990; more than 60 by 2024). It recruits no participants of its own, so it is an aggregation of its member cohorts rather than a cohort. If the curator treats a data portal as a data warehouse, the verdict would be 'not a cohort' instead. Members are the Table 1 cohorts that are COHO terms or this check's entries; each quote is that cohort's cell in Table 1 of the 2020 paper (the table's rows are single cells, so the quote is just the cohort's name and reference number). Left out: GERAD EOAD/LOAD (collections within the GERAD consortium, COHO:0000646), Whitehall II (COHO has only the Whitehall Study, COHO:0002571, which is Whitehall I), and cohorts not in COHO (AMPLE, BRACE, CFAS I/II, DELPHIC, DFP pilot, EPINEF, ICICLE-PD, NIMROD, SAIL-DeC, SMC Amyloid, TRACK-HD, Cam-CAN, CHARIOT, HealthWise Wales, PREVENT, PRIME, PROTECT, UK GENFI). ALSPAC is listed as ALSPAC Children and ALSPAC Parents, both COHO:0000016; ELSA [24] is The English Longitudinal Study of Ageing (COHO:0000163), not COHO:0001320; EXTEND is taken to be the Exeter 10,000 Study (COHO:0001715, an uncurated placeholder), which carries that acronym; Memento is the French MEMENTO cohort, which explains France in the atlas's countries. The atlas also lists France and South Korea, but no text read here names cohorts from them beyond MEMENTO, so only the United Kingdom is given, from the name. Texts read directly from Europe PMC (the request watcher is stopped).
Northern Sweden Health and Disease	Northern Sweden Health and Disease	existing	COHO:0000927			Northern Sweden Health and Disease																			IHCC Cohort Atlas entry "Northern Sweden Health and Disease " (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is the Northern Sweden Health and Disease Study (its name is truncated and ends with a space). The atlas's website is the NSHDS page of Umeå University's Biobank Research Unit, which says 'Our main cohort is the Northern Sweden Health and Disease Study, NSHDS, with over 143,000 participants.' and describes the three subcohorts VIP, MSP and MONICA; the atlas's enrolment period from 1985 matches. So it is COHO:0000927, which already has the acronym NSHDS and links its subcohorts (the Västerbotten Intervention Project, COHO:0002549, is one). The only name the term lacks is the atlas's truncated form, given as a synonym without the trailing space.
Genes & Health	Genes & Health	existing	COHO:0000244			Genes & Health																			IHCC Cohort Atlas entry "Genes & Health" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
