child,child label,parent,parent label,relation,verdict,quote,URL,note,batch
COHO:0001026,MRC National Survey of Health and Development,COHO:0000131,Norwegian Mother and Child Cohort study,,rejected,,,"Mere listing: a figure caption naming the cohorts analysed ('the five MoBa subsamples, Lifelines, NSHD, NTR ...'). The 1946 British birth cohort (NSHD) is not part of MoBa.",s001
COHO:0000457,Penn Medicine BioBank,COHO:0001170,Global Biobank Meta-analysis Initiative,memberOf,confirmed,PMBB and CCPM are part of the GBMI that joined the consortium after initial analysis of the data and have been previously described and use same phenotyping and GWAS protocols as other GBMI biobanks.,https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC10897632/unicode,Stated directly: Penn Medicine Biobank joined GBMI (a later-joining member biobank). GBMI is typed cohort aggregation.,s001
COHO:0000482,Colorado Center for Personalized Medicine Biobank,COHO:0001170,Global Biobank Meta-analysis Initiative,memberOf,confirmed,PMBB and CCPM are part of the GBMI that joined the consortium after initial analysis of the data and have been previously described and use same phenotyping and GWAS protocols as other GBMI biobanks.,https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC10897632/unicode,"The GBMI POAG paper (PMC10897632) says CCPM (Colorado Center for Personalized Medicine) is part of GBMI and joined the consortium later. The previous sentence spells out CCPM, so the name matches this term.",s002
COHO:0000416,Amish Complex Disease Research Program,COHO:0000985,Trans-Omics for Precision Medicine Program,memberOf,confirmed,"NHLBI TOPMed: Genetics of Cardiometabolic Health in the Amish (Amish) The TOPMed component of the Amish Research Program was supported by NIH grants R01 HL121007, U01 HL072515, and R01 AG18728.",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-025-58420-2/MediaObjects/41467_2025_58420_MOESM1_ESM.pdf,"The proposed direction is wrong: TOPMed is not part of the Amish programme. The Amish programme ('Genetics of Cardiometabolic Health in the Amish', a synonym of COHO:0000416) is one of the studies in TOPMed. It appears in the supplement's list of 'NHLBI TOPMed: <study>' acknowledgements, and PMC8665111 names its dbGaP accession 'NHLBI TOPMed: Genetics of Cardiometabolic Health in the Amish' (phs000956). So the Amish programme is a member of TOPMed, which makes this a consortium inside a consortium, since both terms are aggregations. Strictly, only the TOPMed component of the programme takes part.",s002
COHO:0001004,European Prospective Investigation into Cancer and Nutrition–Cardiovascular Disease Study,COHO:0000587,EPIC-InterAct Study,,rejected,,,"EPIC-CVD and EPIC-InterAct are two separate case-cohort studies, both nested in EPIC (COHO:0000065); both terms already link to EPIC. The texts say EPIC-CVD is 'analogous to' InterAct and 'shared the random subcohort with the EPIC-InterAct for eight participating countries'. That means the two studies overlap, not that EPIC-CVD was drawn from InterAct. The existing links to EPIC are correct.",s002
COHO:0000744,Brisbane Longitudinal Twin Study,COHO:0001499,Australian Twin Eye Study,memberOf,confirmed,"BATS The Brisbane Adolescent Twins Study (BATS) is a part of the Australian Twin Eye Study, which was described elsewhere 3 .",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs42003-020-0802-y/MediaObjects/42003_2020_802_MOESM1_ESM.pdf,"The text states the link directly, and it fits the COHO definition of ATES, which combines the eye-examined twins of TEST and BATS. Caveat from the ATR review (Cambridge, doc 30a19d884e35da8cef023e7863672e65): only 'In total, 463 twin pairs from the BATS were recruited into the ATES', so only BATS's eye-study arm is in ATES, as with consortium members that contribute part of their participants. The same review says 'The ATES (also known as the Twins Eye Study in Tasmania [TEST])'. The curator may want to reconcile that with the placeholder COHO:0002450 (Twins Eye Study in Tasmania).",s002
COHO:0000677,Drug Interaction With Genes in Parkinson's Disease,COHO:0001127,Tracking Parkinson's,,rejected,,,"The sentence only says that participants from DIGPD and a subset of TPD (Tracking Parkinson's) were Sanger sequenced for GBA. It is about the two studies' sequencing, not a sub-cohort link. DIGPD is a French cohort and Tracking Parkinson's is a UK cohort, so they are independent.",s002
COHO:0000403,FinnGen,COHO:0000916,International Glaucoma Genetics Consortium,memberOf,confirmed,"We combined the European-specific IGGC meta-analysis data (GCST90011767), the GLADD meta-analysis (GCST009245), and the GBMI data in which we excluded FinnGen (a subset present in IGGC of European ancestry), BioME from African ancestry (a subset present in GGLAD), and UKBB-Africa (a subset present in GGLAD) cohorts.",https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC10897632/unicode,"This link is weaker than a direct membership statement. The GBMI paper says FinnGen data are part of the IGGC European meta-analysis (GCST90011767), and in its methods it excludes FinnGen as overlapping with IGGC. That makes FinnGen a contributor to an IGGC meta-analysis, not necessarily a member of the consortium, and the source is second-hand: a GBMI paper describing IGGC. The IGGC meta-analysis paper itself (GCST90011767, Gharahkhani et al. 2021) would confirm it, but it is not in the cache as a mention of FinnGen.",s002
COHO:0000452,Corogene Study,COHO:0000071,FINRISK,,rejected,,,"COROGENE is made up of angiography patients from Helsinki University Central Hospital. Only its controls were sampled from FINRISK 1997/2002/2007 participants ('The controls for COROGENE cases were selected from the Helsinki-Vantaa region participants of FINRISK'). COROGENE is therefore not a FINRISK survey cohort, and the reverse does not hold either. The third sentence only says a FINRISK replication sample did not overlap with COROGENE.",s002
COHO:0000203,The Cooperative Health Research in South Tyrol,COHO:0000834,Microisolates in South Tyrol Study,,rejected,,,"CHRIS is a newer and larger study (2011 onward) run in the same area. MICROS (2002/03 and 2007) covered 'three of the municipalities included in the CHRIS study', and 'All former living MICROS participants still resident in the area are now being invited into the CHRIS study' (PMC4635524). CHRIS is not drawn from MICROS. MICROS is not a sub-sample of CHRIS either, because it predates CHRIS; the two only overlap, because CHRIS re-recruits MICROS participants.",s002
COHO:0001312,Dental Strategies Concentrating on Risk Evaluation,COHO:0001440,Center for Oral Health Research in Appalachia cohort 1,,rejected,,,"The sentence is about genotyping chips: Dental SCORE and a subset of COHRA1 were genotyped on the MEGA chip. The 'subset' is part of COHRA1, not Dental SCORE. Dental SCORE is a sub-study of Heart SCORE in Pittsburgh adults that only followed COHRA1's dental protocols; it is not drawn from COHRA1.",s002
COHO:0000456,Nurses' Health Study,COHO:0001300,Cancer Genetic Markers of Susceptibility,memberOf,confirmed,"We initially genotyped 1183 cases of postmenopausal invasive breast cancer and 1185 individually-matched controls from the Nurses’ Health Study (NHS) cohort, using the Illumina HumanHap500 array, as part of the National Cancer Institute CGEMS (Cancer Genetic Markers of Susceptibility) Project.",https://pmc.ncbi.nlm.nih.gov/articles/PMC3493132/,"The CGEMS breast cancer GWAS was a case-control set nested in the NHS ('The CGEMS nested case-control study is derived from 32,826 participants who provided a blood sample'). NHS is therefore one of the studies CGEMS drew on, in line with the CGEMS definition. PMC3298855 says the same: 'NHS (part of the CGEMS)'.",s002
COHO:0000063,Erasmus Rucphen Family Study,COHO:0000081,Genetic Research in Isolated,memberOf,confirmed,ERF - Erasmus Rucphen Family Study The Erasmus Rucphen Family study is comprised of a family-based cohort embedded in the Genetic Research in Isolated Populations (GRIP) program in the southwest of the Netherlands.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-022-32821-z/MediaObjects/41467_2022_32821_MOESM1_ESM.pdf,"ERF is embedded in the GRIP programme, and EGAS00001001134 says so too ('ERF is embedded in the Genetic Research in Isolated Population (GRIP) program'). ERF's COHO definition already says 'as part of the Genetic Research in Isolated Populations programme'. Side issue: COHO:0000081's label 'Genetic Research in Isolated' looks truncated (its definition says Genetic Research in Isolated Populations), and its synonym is 'GRIso', not the 'GRIP' the sources use. Worth a label fix and adding GRIP as an acronym.",s002
COHO:0000619,Nurses' Health Study II,COHO:0000527,Health Professionals Follow-up Study,,rejected,,,"The papers only name NHS II and HPFS side by side (both used for replication, genome-wide data taken from both, participants thanked together). NHS II is a cohort of female nurses and HPFS a cohort of male health professionals; neither is part of the other.",s003
COHO:0000901,Consortium of Investigators of Modifiers of BRCA1 and BRCA2,COHO:0000731,Collaborative Oncological Gene-environment Study,memberOf,confirmed,Women diagnosed with EOC and unaffected women from the general population ascertained through the Ovarian Cancer Association Consortium (OCAC)14 and BRCA1 and BRCA2 mutation carriers from the Consortium of Investigators of Modifiers of BRCA1/2 (CIMBA)15 were genotyped as part of the Collaborative Oncological Gene-environment Study (COGS) using the iCOGS custom array.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4445140/,"CIMBA mutation carriers were genotyped as part of COGS. This fits the COGS definition: CIMBA is the BRCA1/2 carrier consortium among the four consortia that COGS brings together. Both terms are typed cohort aggregation, so this is a consortium of consortia.",s003
COHO:0000669,National Institute on Aging Late Onset Alzheimer's Disease Family Study,COHO:0000685,International Genomics of Alzheimer's Project,memberOf,confirmed,"Participants from the NIA-LOAD study were part of the IGAP meta-analysis, although the contribution consisted of a single individual from each family.",https://pmc.ncbi.nlm.nih.gov/articles/PMC5373783/,"The paper says outright that NIA-LOAD was part of IGAP, with one individual from each family ('the IGAP meta-analysis, which included the NIA-LOAD study'). IGAP's direct members are four consortia, and NIA-LOAD most likely came in through ADGC (COHO:0000518), which NIA-LOAD is already a member of. The curator may prefer to keep only the ADGC link and let the IGAP link follow through ADGC.",s003
COHO:0001615,Assessment of Risk for Colorectal Tumors in Canada,COHO:0000610,Genetics and Epidemiology of Colorectal Cancer Consortium,memberOf,confirmed,"GECCO and CCFR Study Descriptions Ontario Familial Colorectal Cancer Registry (OFCCR): In GECCO, a subset of the Assessment of Risk in Colorectal Tumors in Canada (ARCTIC) from the Ontario Registry for Studies of Familial Colorectal Cancer (OFCCR) was used.",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fng.2505/MediaObjects/41588_2013_BFng2505_MOESM12_ESM.pdf,"The link runs the other way: GECCO, a consortium, used a subset of ARCTIC, so ARCTIC is one of GECCO's contributing studies (ARCTIC memberOf GECCO). GECCO is typed cohort aggregation. The same sentence appears in three more GECCO supplements. The study is listed there under the OFCCR heading.",s003
COHO:0000011,Atherosclerosis Risk in Communities Study,COHO:0000688,METASTROKE collaboration,memberOf,confirmed,ARIC analyses performed as part of the METASTROKE project were supported by grant HL-093029 to M Fornage.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3490334/fullTextXML,"This is the first METASTROKE paper, which describes the collaboration's constituent cohorts. Table 1 lists ARIC as one of the 15 discovery cohorts, and the funding sentence confirms that ARIC analyses were part of METASTROKE. The table text is too garbled to quote, so the funding sentence is the quote.",s003
COHO:0000118,Monitoring of Trends and Determinants in Cardiovascular Disease,COHO:0000927,Northern Sweden Health and Disease Study,,rejected,,,"Wrong cohort. The 'MONICA' sub-cohort of NSHDS is the expanded Northern Sweden MONICA study (Norrbotten and Västerbotten). COHO:0000118 is the multinational WHO MONICA project across 26 countries, which is not part of NSHDS. The paper says instead that the two regions 'joined the multinational WHO Monitoring of Trends and Determinants of Cardiovascular Disease (MONICA) Study', so Northern Sweden MONICA would be a sub-cohort of NSHDS and a member of WHO MONICA. That needs its own term if the curator wants it, and the NSHDS definition already names it.",s003
COHO:0000169,The Pakistan Risk Of Myocardial Infarction Study,COHO:0000691,Risk Assessment of Cerebrovascular Events Study,,rejected,,,"The RACE dbGaP page says RACE uses PROMIS controls as common controls for its young-onset stroke substudy ('Control participants for this subset of young onset stroke were individuals enrolled in the Pakistan Risk of Myocardial Infarction Study (PROMIS)'). RACE's stroke cases are its own recruits, so neither study is a sub-cohort of the other; they only share controls. The other sentences just list PROMIS and RACE together as replication studies.",s003
COHO:0001453,Two Sister Study,COHO:0000660,Sister Study,isSubCohortOf,confirmed,The Two Sister Study is an offshoot of the Sister Study that focuses on young-onset breast cancer and is based on families.,https://sisterstudy.niehs.nih.gov/English/2sis.htm,"The Sister Study website lists the Two Sister Study under 'Ancillary Studies'. It enrolled women with young-onset breast cancer who had a sister in the Sister Study, together with about 1,700 of those Sister Study sisters and their parents. It is an ancillary study built on Sister Study participants. Its young-onset cases were not themselves enrolled in the Sister Study, so the curator may want to mention that in the note.",s003
COHO:0000119,Multi-Ethnic Study of Atherosclerosis,COHO:0001586,Candidate Gene Association Resource,memberOf,confirmed,"In addition, a genome wide association study using a 1,000K SNP Chip was conducted on approximately 8,900 African American participants drawn from five CARe cohorts: ARIC, CARDIA, CFS, JHS, and MESA.",https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000283.v6.p3,"The 'substudy of MESA' in the dbGaP record is the MESA CARe genotype dataset, which is part of MESA. CARe itself is the NHLBI resource that collects nine cohorts, MESA among them, so the link runs the other way: MESA memberOf CARe. CARe is typed cohort aggregation. The other sentence is only an acknowledgement.",s003
COHO:0000176,UK Biobank,COHO:0000136,Oxford Biobank,,rejected,,,"The paper meta-analyses results from UK Biobank and the Oxford BioBank and compares the two (the UK Biobank imaging participants were about 20 years older). They are separate cohorts, and neither is part of the other.",s003
COHO:0001001,Diabetes Genetics Initiative,COHO:0000703,Botnia Study,,unresolved,,,"A 2025 Nature Medicine supplement (doc 2a1d3415d113f7f02d66e4862bc92050) says 'DGI (nested in the Botnia Study)'. Other cached sources describe DGI as a 'case-control study of Swedish and Finnish individuals' (nature10405 supplement), list its origin as 'Finland, Sweden' (PMC5034897), and thank 'the Botnia and Skara research teams'. So only DGI's Finnish samples appear to come from Botnia, and its Swedish samples (Skara) do not. The original DGI paper (Science 2007) describing how samples were drawn would settle whether all of DGI lies within Botnia; it does not seem to be in the cache.",s003
COHO:0000197,Singapore Diabetic Cohort Study,COHO:0001116,Asian Indian Diabetic Heart Study/Sikh Diabetes Study,,rejected,,,"Wrong cohort. The sentence speaks of 'a Punjabi Sikh diabetic cohort as part of the Asian Indian diabetic heart study (AIDHS)', a generic phrase for the AIDHS diabetic participants. It matched the synonym 'Diabetic Cohort' of the Singapore Diabetic Cohort Study, which is not meant here.",s003
COHO:0000744,Brisbane Longitudinal Twin Study,COHO:0000428,deCODE genetics Icelandic cohort,,rejected,,,"deCODE genetics appears only as the company that genotyped the BATS samples (""contracted to deCODE genetics (Reykjavik, Iceland)""); it is a genotyping provider here, not the Icelandic cohort. BATS participants are Australian twins, not part of deCODE's cohort.",s004
COHO:0000672,Australian Genetics of Depression Study,COHO:0000574,QSkin Sun and Health Study,,rejected,,,"AGDS and QSkin are separate Australian cohorts whose nevus-count GWAS were meta-analysed together; the 'subset' in the sentence is a subset of QSkin I, not AGDS. Nothing says AGDS is drawn from QSkin.",s004
COHO:0000176,UK Biobank,COHO:0000164,The Fenland Study,,rejected,,,The paper uses UK Biobank and a subset (the OMICS subset) of the Fenland Study side by side for GRS analyses; UK Biobank is not part of Fenland. Mention only.,s004
COHO:0000118,Monitoring of Trends and Determinants in Cardiovascular Disease,COHO:0000045,Cooperative Health Research in the Region of Augsburg,,rejected,,,"The text describes a case-cohort study within the MONICA/KORA Augsburg studies: the Augsburg MONICA surveys S1-S3 followed within the KORA framework. COHO:0000118 is the whole 26-country WHO MONICA project, which is not a member of KORA; if anything the Augsburg MONICA centre is shared by both. No link between these two terms as proposed. (A term for MONICA Augsburg, or the MONICA/KORA Augsburg case-cohort study, would be the right child of KORA, and MONICA Augsburg a sub-cohort of MONICA.)",s004
COHO:0000392,Malmö Offspring Study,COHO:0000296,Malmö Diet and Cancer Study,,rejected,,,"The text states MOS participants are children and grandchildren of MDC-Cardiovascular Cohort participants (""includes participants aged >=18 who are children or grandchildren of participants from the Malmö Diet and Cancer Study (MDC)-Cardiovascular Cohort, a subset of the larger MDC""). They are relatives of MDC participants, not MDC participants themselves, so isSubCohortOf (child's participants part of the parent's) does not hold. It is a family/offspring extension; the curator may want a different relation if COHO has one.",s004
COHO:0000637,Utah residents (CEPH) with Northern and Western European ancestry,COHO:0000638,"Yoruba in Ibadan, Nigeria",,rejected,,,CEU and YRI are two separate HapMap population samples (siblings under HapMap); the sentences mention them together as genotyping controls and ancestry components. Neither is part of the other.,s004
COHO:0000176,UK Biobank,COHO:0001004,European Prospective Investigation into Cancer and Nutrition–Cardiovascular Disease Study,,rejected,,,The sentence compares follow-up and event counts in the EPIC-CVD sub-cohort and in UK Biobank; two separate studies analysed side by side. UK Biobank is not part of EPIC-CVD.,s004
COHO:0000125,Netherlands Twin Registry,COHO:0000440,Netherlands Study of Depression and Anxiety,,rejected,,,The text says the combined NTR/NESDA sample 'includes participants of the Netherlands Twin Registry (NTR) and the Netherlands Study of Depression and Anxiety (NESDA)': a pooled analysis sample of two separate cohorts. NTR is not part of NESDA.,s004
COHO:0000792,Religious Orders Study,COHO:0000810,Rush Memory and Aging Project,,rejected,,,"ROS and MAP are two sister cohorts of the Rush Alzheimer's Disease Center, analysed jointly as ROSMAP; the sentences name them together. ROS is not part of MAP (both already memberOf COHO:0000400).",s004
COHO:0000456,Nurses' Health Study,COHO:0000527,Health Professionals Follow-up Study,,rejected,,,"NHS and HPFS are separate Harvard cohorts (women nurses vs male health professionals) mentioned together; the nested case-control sets are nested within each, not one within the other. No link.",s004
COHO:0000773,Colorectal Transdisciplinary Study,COHO:0000752,Elucidating Loci Involved in Prostate Cancer Susceptibility,,rejected,,,"CORECT and ELLIPSE are both listed as GAME-ON consortia (sibling members, already both memberOf COHO:0000774). CORECT is a colorectal cancer consortium, not a member of the prostate cancer consortium ELLIPSE.",s004
COHO:0000527,Health Professionals Follow-up Study,COHO:0000456,Nurses' Health Study,,rejected,,,"The sentences cite a melanoma nested case-control study 'within Nurses' Health Study (NHS) and Health Professionals Follow-up Study (HPFS)' and pooled NHS/HPFS samples; HPFS is a separate cohort of male health professionals, not a sub-cohort of NHS.",s004
COHO:0001588,China Multi-Center Collaborative Study of Cardiovascular Epidemiology 1998,COHO:0001594,Community Intervention of Metabolic Syndrome in China and Chinese Family Health Study,,rejected,,,"China MUCA 1998 and CIMIC are named as two of the three sibling subcohorts of China-PAR (with InterASIA); neither is part of the other. The text supports both as sub-cohorts of China-PAR, not this link.",s005
COHO:0001213,Northern Finland Birth Cohort 1966,COHO:0000420,Cardiovascular Risk in Young Finns Study,,rejected,,,NFBC1966 and the Young Finns Study are two separate Finnish cohorts from which subsets with childhood height were analysed; no containment.,s005
COHO:0000176,UK Biobank,COHO:0000371,Million Veteran Program,,rejected,,,UK Biobank and the Million Veteran Program are independent biobanks analysed or meta-analysed together; neither is part of the other.,s005
COHO:0000530,Ansan and Ansung Study,COHO:0000629,Cardiovascular Disease Association Study,,rejected,,,KARE (Ansan and Ansung) and CAVAS are sibling KoGES cohorts listed together with HEXA; neither is part of the other (both already memberOf KoGES).,s005
COHO:0001003,"Discovery, Biology, and Risk of Inherited Variants in Breast Cancer",COHO:0000752,Elucidating Loci Involved in Prostate Cancer Susceptibility,,rejected,,,"DRIVE (breast cancer) and ELLIPSE (prostate cancer) are sibling GAME-ON consortia; the paper says each is a subset of its own disease's summary-statistic GWAS, not that DRIVE belongs to ELLIPSE.",s005
COHO:0000773,Colorectal Transdisciplinary Study,COHO:0000800,Transdisciplinary Research in Cancer of the Lung,,rejected,,,CORECT and TRICL are listed as sibling GAME-ON projects; CORECT is not a member of TRICL (both already memberOf GAME-ON).,s005
COHO:0000505,WHI Genomics and Randomized Trials Network,COHO:0000603,Women's Health Initiative Memory Study,,rejected,,,WHI-GARNET and WHIMS+ are sibling WHI sub-studies listed together as sources of participants; neither is part of the other (both already isSubCohortOf WHI).,s005
COHO:0000011,Atherosclerosis Risk in Communities Study,COHO:0000385,Framingham Heart Study,,rejected,,,ARIC findings were replicated in Framingham Heart Study participants; two independent cohorts.,s005
COHO:0001329,Follow-up of Ovarian Cancer Genetic Association and Interaction Studies,COHO:0000901,Consortium of Investigators of Modifiers of BRCA1 and BRCA2,,rejected,,,"FOCI-OncoArray, FOCI-Exome Chip and CIMBA are listed as three separate ovarian cancer SNP array datasets; FOCI is not stated to be a member of CIMBA.",s005
COHO:0000637,Utah residents (CEPH) with Northern and Western European ancestry,COHO:0000809,"Japanese in Tokyo, Japan",,rejected,,,"CEU and JPT are separate HapMap population panels, compared or used side by side; neither is part of the other (both already isSubCohortOf HapMap and 1000 Genomes).",s005
COHO:0000284,International HapMap Project,COHO:0000002,1000 Genomes,,rejected,,,The sentence only says control samples were genotyped as part of HapMap and 1000 Genomes; it does not state HapMap is a sub-cohort of 1000 Genomes.,s005
COHO:0000610,Genetics and Epidemiology of Colorectal Cancer Consortium,COHO:0000547,Colon Cancer Family Registry,,rejected,,,"GECCO and CCFR are named as two data sources pooled into one CRC GWAS dataset; the text does not state either is part of the other (and GECCO is an aggregation, so isSubCohortOf would be wrong in any case).",s005
COHO:0000134,Ovarian Cancer Association Consortium,COHO:0000901,Consortium of Investigators of Modifiers of BRCA1 and BRCA2,,rejected,,,"OCAC and CIMBA are named side by side as separate consortia that collaborated in the COGS/iCOGS genotyping initiative (together with BCAC). Neither text says OCAC is part of CIMBA: OCAC collects ovarian cancer case-control studies, while CIMBA collects BRCA1/2 mutation carriers.",s006
COHO:0001038,Vitamin Intervention for Stroke Prevention,COHO:0000505,WHI Genomics and Randomized Trials Network,,rejected,,,"Name clash. The sentences say the VISP GWAS was funded by NHGRI as part of the Genomics and Randomized Trials Network (GARNET), which is the NHGRI funding programme that ran across several trials. COHO:0000505 is the WHI-specific GARNET nested case-control sub-study of the WHI hormone therapy trials. VISP participants are not WHI participants.",s006
COHO:0000800,Transdisciplinary Research in Cancer of the Lung,COHO:0000560,International Lung Cancer Consortium,,rejected,,,"PMC5008248 says only that the TRICL consortium was 'established in 2008 and associated with the International Lung Cancer Consortium (ILCCO)'. The other hit names the two consortia side by side ('within the TRICL and ILCCO consortia'). Neither text says TRICL is a member of ILCCO, and searching the other cached documents that mention TRICL found no sentence that does. The two consortia work together, which COHO's TRICL definition already records.",s006
COHO:0000367,Alzheimer's Disease Neuroimaging Initiative,COHO:0000405,"Australian Imaging, Biomarker & Lifestyle Flagship Study of Ageing",,rejected,,,"A figure legend lists correlation matrices for separate samples: the ADNI sample, an ADNI subsample, and the AIBL validation cohort. ADNI (North America) and AIBL (Australia) are separate cohorts, and neither is drawn from the other.",s006
COHO:0001426,Taizhou Longitudinal Study,COHO:0001384,National Survey of Physical Traits,,rejected,,,PMC10351707 treats TZL and NSPT as two separate East Asian cohorts with separate ethics approvals and separate sample counts. TZL is described as Han Chinese sampled in Taizhou in 2014. NSPT is a separate National Science & Technology Basic Research Project that has its own Taizhou sub-cohorts (2015 and 2019). The paper does not say that either cohort is drawn from the other.,s006
COHO:0000708,German Infant Study on the Influence of Nutrition Intervention plus Air pollution and Genetics on Allergy Development,COHO:0000831,Influence of Life-style factors on Development of the Immune System and Allergies in East and West Germany plus Air Pollution and Genetics on Allergy Development,,rejected,,,GINIplus and LISAplus are two separate German birth cohorts that are analysed side by side (the combined 'GINI/LISA South' study area). The sentences only compare how data were collected and pool exposure analyses across the two. Neither cohort is a sub-cohort of the other.,s006
COHO:0000752,Elucidating Loci Involved in Prostate Cancer Susceptibility,COHO:0000800,Transdisciplinary Research in Cancer of the Lung,,rejected,,,"ELLIPSE and TRICL are sibling projects, both listed as GAME-ON consortia (COHO:0000774, which both terms already link to). ELLIPSE is a prostate cancer consortium and is not a member of TRICL, which is a lung cancer consortium.",s006
